RMS,Peak,Freq,Crest,THD
0.1163,0.1708,62.5,1.468,2.0361608950223054
0.1155,0.1789,62.5,1.549,2.125225369208331
0.1165,0.1694,62.5,1.454,2.045164323378263
0.1149,0.1832,62.5,1.595,1.9692904195988834
0.116,0.182,62.5,1.569,2.1351973068785126
0.1149,0.1842,62.5,1.603,1.9436739964004357
0.1156,0.1796,62.5,1.553,2.1577825691950943
0.1164,0.1684,62.5,1.447,2.0302009678778368
0.115,0.1842,62.5,1.601,2.0610238925263813
0.1149,0.1844,62.5,1.605,1.9707696663001544
0.1149,0.1854,62.5,1.613,1.958696297379531
0.1147,0.1863,62.5,1.625,1.9474105591478381
0.1161,0.1743,62.5,1.502,2.069339715527055
0.1153,0.1784,62.5,1.547,2.1524588785847665
0.1158,0.1777,62.5,1.534,2.1336966633682946
0.1152,0.1811,62.5,1.572,2.0766383922749094
0.1165,0.1688,62.5,1.449,2.045398676304229
0.1155,0.1784,62.5,1.544,2.1355100204283746
0.1165,0.1669,62.5,1.433,2.0281197847341
0.1161,0.1753,62.5,1.51,2.068260716106483
0.1166,0.1703,62.5,1.46,2.0303385703625905
0.1167,0.1661,62.5,1.424,2.022847306579562
0.1166,0.1701,62.5,1.459,2.0517124137421408
0.1151,0.1837,62.5,1.596,2.0501047638739127
0.1147,0.1848,62.5,1.611,1.9416209969655356
0.1155,0.1845,62.5,1.597,2.156645760958876
0.1164,0.1688,62.5,1.45,2.0382965681469716
0.1164,0.1638,62.5,1.407,2.021973957119464
0.1152,0.1829,62.5,1.588,2.0968832343013393
0.1162,0.1806,62.5,1.555,2.1016753882924233
0.1146,0.1842,62.5,1.608,1.9317216040130176
0.1147,0.1855,62.5,1.618,1.9443296233501308
0.1147,0.1849,62.5,1.612,1.9382535011305848
0.1159,0.1744,62.5,1.504,2.0643974028260885
0.1166,0.1649,62.5,1.414,2.0238195701264337
0.1161,0.1757,62.5,1.514,2.1141217009651343
0.1148,0.1854,62.5,1.616,1.9549419777268247
0.1164,0.1675,62.5,1.439,2.0358492042520098
0.115,0.1882,62.5,1.637,2.001081249809094
0.1164,0.1757,62.5,1.51,2.060164201880931
0.1163,0.1702,62.5,1.463,2.0537574834296173
0.115,0.1808,62.5,1.572,2.0875878876020013
0.1156,0.1821,62.5,1.575,2.119067260397694
0.1163,0.1715,62.5,1.475,2.071294644277764
0.1162,0.1752,62.5,1.508,2.0721578607137925
0.115,0.1817,62.5,1.58,2.0408457787106786
0.1164,0.1723,62.5,1.48,2.04455597704882
0.1159,0.1767,62.5,1.525,2.114525753017866
0.1159,0.1752,62.5,1.511,2.102976209357276
0.1151,0.1833,62.5,1.593,2.0326830249539998
0.1153,0.1786,62.5,1.549,2.1600732949258576
0.115,0.1824,62.5,1.586,2.038395030011605
0.1165,0.1691,62.5,1.452,2.0419540115169386
0.1148,0.1838,62.5,1.601,1.9714431642410297
0.1164,0.1689,62.5,1.451,2.039155840490867
0.1151,0.1847,62.5,1.605,2.0047072579968677
0.1146,0.1846,62.5,1.61,1.9326439670833058
0.1149,0.1809,62.5,1.574,2.1136927558832492
0.1148,0.1855,62.5,1.616,1.9615293383732944
0.1163,0.1685,62.5,1.45,2.0377526282536946
0.1159,0.1781,62.5,1.537,2.142189797593952
0.115,0.1827,62.5,1.589,2.009718927182223
0.1158,0.1792,62.5,1.548,2.1419080594464277
0.1164,0.1663,62.5,1.428,2.0250746801039967
0.1147,0.1863,62.5,1.624,1.9702883538942393
0.1165,0.1697,62.5,1.456,2.0281378277122064
0.1161,0.1755,62.5,1.511,2.0919590317577965
0.1148,0.1827,62.5,1.591,2.0066858990162766
0.1168,0.1681,62.5,1.439,2.0396733778564418
